"","words"
"1","line, hour, flight, airport, immigration, passport, people, get, time, control"
"7","security, bag, check, staff, luggage, take, do, scanner, go, passenger"
"21","terminal, airport, time, security, gate, long, line, passenger, flight, area"
"59","airport, staff, rude, bad, experience, security, people, service, do, customer"
"70","flight, gate, airport, get, hour, terminal, time, go, minute, take"
"93","child, family, baby, stroller, kid, young, son, old, infant, parent"
"112","baggage, car, luggage, area, parking, bag, carousel, take, claim, exit"
"135","airport, food, shop, terminal, place, toilet, free, area, wifi, good"
